part,book,book_title,chapter,chapter_title,word_count,afinn_raw,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,nrc_positive,nrc_negative,afinn_per_100_words,anger_per_100,anticipation_per_100,disgust_per_100,fear_per_100,joy_per_100,sadness_per_100,surprise_per_100,trust_per_100,chapter_order
I,I,The History Of A Family,I,,1332,26.0,31,51,25,34,46,29,25,50,87,64,1.951951951951952,2.3273273273273274,3.828828828828829,1.8768768768768769,2.5525525525525525,3.453453453453453,2.177177177177177,1.8768768768768769,3.7537537537537538,1
I,I,The History Of A Family,II,,1304,-8.0,26,53,12,26,31,24,24,40,68,52,-0.6134969325153374,1.9938650306748469,4.064417177914111,0.9202453987730062,1.9938650306748469,2.377300613496933,1.8404907975460123,1.8404907975460123,3.067484662576687,2
I,I,The History Of A Family,III,,2592,17.0,41,84,40,53,64,52,42,113,170,95,0.6558641975308641,1.5817901234567902,3.2407407407407405,1.5432098765432098,2.044753086419753,2.469135802469136,2.006172839506173,1.6203703703703702,4.359567901234568,3
I,I,The History Of A Family,IV,,3510,-56.0,70,115,61,81,88,95,66,123,182,154,-1.5954415954415957,1.9943019943019944,3.276353276353276,1.7378917378917378,2.307692307692308,2.507122507122507,2.7065527065527064,1.8803418803418803,3.5042735042735043,4
I,I,The History Of A Family,V,,3629,39.0,54,100,48,84,91,96,39,211,265,156,1.074676219344172,1.488013226784238,2.755580049600441,1.3226784238082117,2.3146872416643705,2.5075778451364013,2.6453568476164238,1.074676219344172,5.814273904656931,5
I,II,An Unfortunate Gathering,I,,1796,13.0,15,50,14,20,31,22,23,76,106,45,0.7238307349665924,0.8351893095768375,2.783964365256125,0.779510022271715,1.11358574610245,1.7260579064587973,1.2249443207126949,1.2806236080178173,4.231625835189309,6
I,II,An Unfortunate Gathering,II,,3572,74.0,45,86,51,43,88,65,44,140,217,125,2.0716685330347144,1.2597984322508398,2.4076147816349383,1.427771556550952,1.2038073908174691,2.463605823068309,1.8197088465845463,1.2318029115341544,3.9193729003359454,7
I,II,An Unfortunate Gathering,III,,3237,44.0,47,114,47,99,110,103,37,148,187,141,1.3592832869941305,1.4519616929255483,3.5217794253938832,1.4519616929255483,3.0583873957367933,3.398208217485326,3.1819586036453504,1.143033673154155,4.57213469261662,8
I,II,An Unfortunate Gathering,IV,,3034,112.0,44,104,38,74,125,59,54,134,216,115,3.691496374423204,1.4502307185234016,3.427818061964404,1.2524719841793013,2.4390243902439024,4.119973632168754,1.944627554383652,1.7798286090969018,4.4166117336849045,9
I,II,An Unfortunate Gathering,V,,3665,-138.0,109,156,77,122,131,75,45,206,261,178,-3.765347885402456,2.9740791268758526,4.256480218281037,2.100954979536153,3.328785811732605,3.574351978171896,2.046384720327422,1.227830832196453,5.620736698499318,10
I,II,An Unfortunate Gathering,VI,,3923,-21.0,102,114,66,84,98,88,64,205,257,176,-0.5353046138159572,2.600050981391792,2.905939332143768,1.6823859291358652,2.1412184552638287,2.4980881978078,2.2431812388478205,1.6314045373438697,5.225592658679582,11
I,II,An Unfortunate Gathering,VII,,3461,-31.0,86,122,61,97,88,89,67,174,209,172,-0.8956948858711354,2.484830973707021,3.5249927766541465,1.7624963883270732,2.802658191274198,2.542617740537417,2.571511123952615,1.9358566888182605,5.027448714244438,12
I,II,An Unfortunate Gathering,VIII,,3515,39.0,67,59,60,55,57,66,43,124,178,156,1.1095305832147937,1.906116642958748,1.6785206258890468,1.7069701280227598,1.5647226173541962,1.6216216216216215,1.877667140825036,1.2233285917496444,3.52773826458037,13
I,III,The Sensualists,I,,2256,-31.0,34,55,28,52,68,50,21,55,114,94,-1.374113475177305,1.5070921985815602,2.4379432624113475,1.2411347517730498,2.304964539007092,3.0141843971631204,2.2163120567375887,0.9308510638297872,2.4379432624113475,14
I,III,The Sensualists,II,,1646,-25.0,27,47,28,30,37,40,12,40,67,72,-1.5188335358444711,1.6403402187120293,2.8554070473876063,1.701093560145808,1.8226002430133657,2.2478736330498177,2.4301336573511545,0.7290400972053462,2.4301336573511545,15
I,III,The Sensualists,III,,3327,-29.0,63,114,53,110,111,94,43,122,189,169,-0.8716561466786895,1.8935978358881875,3.4265103697024344,1.5930267508265703,3.306281935677788,3.3363390441839496,2.8253681995792004,1.2924556657649533,3.666967237751728,16
I,III,The Sensualists,IV,,3365,58.0,76,101,51,73,93,52,63,143,189,121,1.723625557206538,2.2585438335809807,3.00148588410104,1.5156017830609212,2.1693907875185734,2.763744427934621,1.5453194650817237,1.8722139673105496,4.24962852897474,17
I,III,The Sensualists,IX,,2051,-32.0,33,46,21,51,29,33,38,66,75,76,-1.5602145294978058,1.6089712335446125,2.242808386153096,1.023890784982935,2.486591906387128,1.4139444173573867,1.6089712335446125,1.8527547537786448,3.217942467089225,18
I,III,The Sensualists,V,,3352,20.0,79,96,47,83,90,65,62,140,167,126,0.5966587112171837,2.356801909307876,2.863961813842482,1.4021479713603815,2.476133651551313,2.684964200477326,1.9391408114558475,1.8496420047732696,4.176610978520286,19
I,III,The Sensualists,VI,,2145,31.0,36,46,34,33,47,26,39,54,104,85,1.4452214452214454,1.6783216783216783,2.1445221445221447,1.5850815850815851,1.5384615384615383,2.191142191142191,1.2121212121212122,1.818181818181818,2.517482517482517,20
I,III,The Sensualists,VII,,2172,-23.0,71,75,55,73,62,59,30,96,139,125,-1.0589318600368325,3.268876611418048,3.4530386740331496,2.532228360957643,3.360957642725598,2.85451197053407,2.716390423572744,1.3812154696132597,4.41988950276243,21
I,III,The Sensualists,VIII,,2852,5.0,67,104,50,66,85,61,42,115,177,133,0.1753155680224404,2.3492286115007013,3.64656381486676,1.753155680224404,2.314165497896213,2.9803646563814867,2.1388499298737726,1.472650771388499,4.032258064516129,22
I,III,The Sensualists,X,,4438,267.0,62,173,48,85,169,80,101,179,288,142,6.016223524109959,1.3970256872465074,3.8981523208652544,1.081568273997296,1.915277151870212,3.80802163136548,1.8026137899954933,2.2757999098693102,4.033348355114916,23
I,III,The Sensualists,XI,,3122,-3.0,84,96,53,92,85,89,53,131,156,153,-0.0960922485586162,2.690582959641256,3.074951953875721,1.6976297245355545,2.946828955797565,2.7226137091607945,2.850736707238949,1.6976297245355545,4.196028187059577,24
II,IV,Lacerations,I,,4103,89.0,68,126,50,99,107,84,64,210,269,160,2.169144528393858,1.657323909334633,3.0709237143553496,1.2186205215695831,2.412868632707774,2.607847916158908,2.0472824762369,1.5598342676090666,5.118206190592249,25
II,IV,Lacerations,II,,1949,37.0,37,38,30,33,41,27,30,58,72,65,1.8984094407388403,1.8984094407388403,1.949717804002052,1.539250897896357,1.6931759876859929,2.103642893791688,1.3853258081067217,1.539250897896357,2.9758850692662904,26
II,IV,Lacerations,III,,1824,-61.0,51,46,45,39,18,38,15,36,53,113,-3.344298245614035,2.796052631578948,2.5219298245614032,2.4671052631578947,2.138157894736842,0.986842105263158,2.083333333333333,0.8223684210526315,1.973684210526316,27
II,IV,Lacerations,IV,,2312,-57.0,54,63,45,79,49,60,36,87,97,122,-2.4653979238754324,2.3356401384083045,2.7249134948096887,1.9463667820069204,3.4169550173010386,2.1193771626297577,2.5951557093425603,1.5570934256055362,3.762975778546713,28
II,IV,Lacerations,V,,4503,107.0,86,118,62,87,119,93,69,155,249,172,2.3761936486786586,1.9098378858538756,2.620475238729736,1.3768598711969795,1.9320453031312457,2.642682656007106,2.065289806795469,1.5323117921385745,3.4421496779924494,29
II,IV,Lacerations,VI,,3316,-12.0,44,47,52,47,40,62,32,95,134,134,-0.3618817852834741,1.3268998793727382,1.4173703256936068,1.5681544028950545,1.4173703256936068,1.20627261761158,1.8697225572979492,0.965018094089264,2.864897466827503,30
II,IV,Lacerations,VII,,4378,-66.0,86,82,51,90,67,74,55,193,197,163,-1.507537688442211,1.9643672910004568,1.8730013704888075,1.1649154865235267,2.055733211512106,1.5303791685701231,1.6902695294655097,1.256281407035176,4.408405664687072,31
II,V,Pro And Contra,I,,4414,133.0,83,144,62,80,127,102,89,154,230,168,3.0131400090620755,1.8803806071590392,3.262347077480743,1.4046216583597644,1.812415043044857,2.877208880833711,2.310829179882193,2.0163117353874034,3.48889895786135,32
II,V,Pro And Contra,II,,2532,33.0,41,65,30,58,45,41,39,72,106,94,1.3033175355450235,1.6192733017377563,2.567140600315956,1.1848341232227488,2.2906793048973144,1.7772511848341233,1.6192733017377563,1.5402843601895737,2.843601895734597,33
II,V,Pro And Contra,III,,3830,200.0,52,114,45,71,119,62,55,133,224,106,5.221932114882506,1.3577023498694516,2.9765013054830285,1.1749347258485638,1.8537859007832895,3.107049608355091,1.618798955613577,1.4360313315926894,3.472584856396866,34
II,V,Pro And Contra,IV,,4914,-58.0,130,145,127,173,176,168,61,209,343,292,-1.1803011803011805,2.6455026455026456,2.950752950752951,2.5844525844525847,3.5205535205535203,3.5816035816035816,3.418803418803419,1.2413512413512413,4.253154253154253,35
II,V,Pro And Contra,V,,9247,198.0,186,298,144,260,312,219,116,359,572,377,2.141234995133557,2.0114631772466747,3.222666810857575,1.5572618146425867,2.8117227208824485,3.374067265058938,2.368335676435601,1.2544609062398615,3.882340218449227,36
II,V,Pro And Contra,VI,,4331,-99.0,86,103,67,115,64,90,72,129,139,194,-2.2858462248903253,1.9856845993996768,2.3782036481182174,1.54698683906719,2.655275917801893,1.4777187716462712,2.0780420226275687,1.662433618102055,2.9785268990995157,37
II,V,Pro And Contra,VII,,3408,27.0,46,98,31,56,51,56,64,88,133,109,0.7922535211267605,1.3497652582159625,2.875586854460094,0.90962441314554,1.643192488262911,1.4964788732394363,1.643192488262911,1.8779342723004693,2.582159624413145,38
II,VI,The Russian Monk,I,,6362,390.0,108,264,81,147,273,152,96,349,488,266,6.130147752279157,1.6975793775542285,4.149638478465891,1.273184533165671,2.310594152782144,4.29110342659541,2.3891857906318767,1.5089594467148697,5.485696321911348,39
II,VI,The Russian Monk,II,,9124,-50.0,191,277,135,271,212,205,138,326,459,408,-0.5480052608505042,2.093380096448926,3.035949145111793,1.4796142042963611,2.970188513809733,2.323542306006137,2.246821569487067,1.5124945199473916,3.572994300745288,40
II,VI,The Russian Monk,III,,6236,254.0,158,218,137,215,273,180,101,287,469,310,4.073123797305965,2.5336754329698525,3.495830660679923,2.196921103271328,3.44772289929442,4.377806286080821,2.886465683130212,1.6196279666452855,4.602309172546504,41
III,IX,The Preliminary Investigation,I,,2793,5.0,61,85,35,62,65,56,57,84,136,98,0.1790189760114572,2.184031507339778,3.0433225921947726,1.2531328320802004,2.2198353025420694,2.327246688148944,2.0050125313283207,2.0408163265306123,3.007518796992481,42
III,IX,The Preliminary Investigation,II,,2699,-49.0,49,65,32,72,64,41,40,93,148,93,-1.8154872174879584,1.8154872174879584,2.408299370137088,1.185624305298259,2.667654686921082,2.3712486105965174,1.519081141163394,1.4820303816228233,3.445720637273064,43
III,IX,The Preliminary Investigation,III,,3569,-125.0,93,64,70,108,51,108,60,100,157,189,-3.502381619501261,2.605771924908938,1.7932193891846455,1.9613337069207064,3.0260577192490894,1.4289717007565146,3.0260577192490894,1.6811431773606051,2.8019052956010086,44
III,IX,The Preliminary Investigation,IV,,3004,28.0,58,70,49,74,58,60,38,101,153,122,0.9320905459387484,1.9307589880159783,2.330226364846871,1.6311584553928096,2.463382157123835,1.9307589880159783,1.9973368841544608,1.2649800266311584,3.362183754993342,45
III,IX,The Preliminary Investigation,IX,,1524,-32.0,36,51,26,36,24,42,29,42,59,75,-2.099737532808399,2.3622047244094486,3.346456692913386,1.7060367454068242,2.3622047244094486,1.574803149606299,2.755905511811024,1.9028871391076116,2.755905511811024,46
III,IX,The Preliminary Investigation,V,,4387,-53.0,85,94,55,103,60,86,67,132,179,170,-1.2081148848871666,1.93754273991338,2.142694324139503,1.253704125826305,2.347845908365626,1.367677228174151,1.9603373603829497,1.527239571461135,3.008889901983132,47
III,IX,The Preliminary Investigation,VI,,3166,-66.0,60,62,39,51,46,50,37,78,107,118,-2.084649399873657,1.8951358180669613,1.9583070120025268,1.231838281743525,1.6108654453569171,1.4529374605180037,1.5792798483891344,1.1686670878079597,2.46367656348705,48
III,IX,The Preliminary Investigation,VII,,4751,-131.0,131,106,94,123,61,115,79,136,156,224,-2.7573142496316567,2.7573142496316567,2.2311092401599666,1.978530835613555,2.588928646600716,1.283940223110924,2.420543043569775,1.6628078299305409,2.862555251525994,49
III,IX,The Preliminary Investigation,VIII,,3925,-7.0,60,79,33,41,64,60,44,108,156,137,-0.1783439490445859,1.5286624203821657,2.0127388535031847,0.8407643312101911,1.0445859872611465,1.6305732484076432,1.5286624203821657,1.1210191082802548,2.7515923566878984,50
III,VII,Alyosha,I,,5180,-16.0,79,146,81,129,120,117,93,261,288,232,-0.3088803088803089,1.525096525096525,2.8185328185328187,1.563706563706564,2.4903474903474905,2.3166023166023164,2.2586872586872584,1.795366795366795,5.038610038610038,51
III,VII,Alyosha,II,,2414,37.0,34,78,29,58,67,46,60,87,147,92,1.532725766362883,1.4084507042253522,3.231151615575808,1.2013256006628004,2.4026512013256007,2.775476387738194,1.9055509527754768,2.4855012427506216,3.603976801988401,52
III,VII,Alyosha,III,,7806,-29.0,160,180,123,179,192,171,140,227,370,330,-0.3715090955675121,2.04970535485524,2.3059185242121445,1.5757109915449656,2.2931078657443,2.459646425826288,2.190622598001537,1.7934921854983348,2.908019472200871,53
III,VII,Alyosha,IV,,2047,70.0,17,64,13,30,77,43,30,61,113,63,3.419638495359062,0.8304836345872008,3.126526624328285,0.6350757205666829,1.4655593551538837,3.761602344894968,2.1006350757205667,1.4655593551538837,2.9799706888128967,54
